WELL,MD,TVDSS,GR,NPHI,RHOZ,DT,VCL,PHIE,Deltaic_Facies
RD_7P,3194.9898,2955.6718,104.917,0.177,2.575,75.17,0.5928,0.0398,5
RD_7P,3195.066,2955.7436,105.867,0.172,2.574,75.424,0.581,0.0407,5
RD_7P,3195.1422,2955.8154,106.291,0.169,2.572,75.599,0.561,0.0423,5
RD_7P,3195.2184,2955.8872,105.931,0.168,2.569,75.679,0.5428,0.0445,5
RD_7P,3195.2946,2955.959,104.743,0.169,2.567,75.725,0.5336,0.0458,5
RD_7P,3195.3708,2956.0308,103.065,0.172,2.565,75.82,0.5314,0.047,5
RD_7P,3195.447,2956.1026,101.586,0.175,2.565,76.007,0.5402,0.0469,5
RD_7P,3195.5232,2956.1744,100.982,0.178,2.565,76.298,0.5507,0.0466,5
RD_7P,3195.5994,2956.2462,101.573,0.181,2.565,76.689,0.5613,0.0464,5
RD_7P,3195.6756,2956.318,103.303,0.183,2.567,77.182,0.5759,0.0449,5
RD_7P,3195.7518,2956.3898,105.755,0.185,2.569,77.744,0.5879,0.0435,5
RD_7P,3195.828,2956.4616,108.279,0.187,2.572,78.307,0.6009,0.0415,5
RD_7P,3195.9042,2956.5334,110.291,0.19,2.576,78.802,0.6161,0.0388,5
RD_7P,3195.9804,2956.6052,111.423,0.192,2.58,79.181,0.6337,0.0361,5
RD_7P,3196.0566,2956.677,111.584,0.193,2.584,79.388,0.6498,0.0334,5
RD_7P,3196.1328,2956.7488,110.983,0.195,2.587,79.373,0.6603,0.0314,5
RD_7P,3196.209,2956.8206,109.927,0.196,2.591,79.132,0.6744,0.0287,5
RD_7P,3196.2852,2956.8924,108.66,0.196,2.593,78.719,0.6735,0.0282,5
RD_7P,3196.3614,2956.9642,107.521,0.197,2.595,78.215,0.6617,0.0286,5
RD_7P,3196.4376,2957.036,106.852,0.197,2.595,77.687,0.6547,0.0295,5
RD_7P,3196.5138,2957.1078,106.818,0.196,2.593,77.18,0.6544,0.0304,5
RD_7P,3196.59,2957.1796,107.37,0.195,2.59,76.764,0.6601,0.031,5
RD_7P,3196.6662,2957.2514,108.347,0.192,2.588,76.548,0.6703,0.0307,5
RD_7P,3196.7424,2957.3232,109.464,0.188,2.587,76.6,0.6614,0.0314,5
RD_7P,3196.8186,2957.395,110.473,0.185,2.589,76.885,0.6525,0.0305,5
